,periodo,comentario,quant_like_coment,feedback_super,nota,quant_comentarios,quant_fotos,supermercado,rua_supermercado,guia_local,cliente_id
80,um ano atrás,"Um ótimo local,um bom atendimento,ótima localização",1.0,Agradecemos sua ajuda.,5,3,0,Deirton,"Fausto Pinheiro, 316",Não,80
81,9 meses atrás,Climatizado e tudo em um só lugar!!!,0.0,Agradecemos sua ajuda.,5,8,12,Deirton,"Fausto Pinheiro, 316",Não,81
82,um ano atrás,Um lugar de gente acolhedora...e um ótimo lugar para fazer compras 😊,1.0,Agradecemos sua ajuda.,5,38,2,Deirton,"Fausto Pinheiro, 316",Sim,82
83,3 anos atrás,Muito bom um espaço excelente onde se encontra de tudo,0.0,Agradecemos sua ajuda.,4,0,0,Deirton,"Fausto Pinheiro, 316",Não,83
84,4 anos atrás,O melhor Supermercado da região pois tem todo que precisa e com um espaço bem agradável 😍,1.0,Agradecemos sua ajuda.,5,3,0,Deirton,"Fausto Pinheiro, 316",Não,84
85,um ano atrás,Fiz várias compras é muito legal,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,85
86,3 anos atrás,Ótimo atendimento... E estão seguindo as instruções de segurança!!!Parabéns,0.0,Agradecemos sua ajuda.,4,0,0,Deirton,"Fausto Pinheiro, 316",Não,86
87,3 anos atrás,"Ótimos preços, produtos variados e com um excelente atendimento.",0.0,Agradecemos sua ajuda.,5,9,0,Deirton,"Fausto Pinheiro, 316",Não,87
88,5 anos atrás,"Já foi melhor, preços não estão tão atraentes!",0.0,Agradecemos sua ajuda.,3,31,81,Deirton,"Fausto Pinheiro, 316",Sim,88
89,6 anos atrás,"A maior variedade da cidade, tambem apresenta preços baixos e ambiente climatizado",0.0,Agradecemos sua ajuda.,5,13,0,Deirton,"Fausto Pinheiro, 316",Não,89
90,um ano atrás,Muita variedade de preços e produtos,0.0,Agradecemos sua ajuda.,5,4,5,Deirton,"Fausto Pinheiro, 316",Não,90
91,um ano atrás,"Tem muitas coisas com desconto, gostei!!!",0.0,Agradecemos sua ajuda.,4,3,0,Deirton,"Fausto Pinheiro, 316",Não,91
92,2 anos atrás,Infelismente o preço de tudo é muito alto.👎👎👎,0.0,Agradecemos sua ajuda.,1,3,208,Deirton,"Fausto Pinheiro, 316",Sim,92
93,3 anos atrás,"Fui bem recepcionando, um bom lugar para comprar, um bom lugar de trabalho.",0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,93
94,2 anos atrás,Ótimo atendimento  muito show.,0.0,Agradecemos sua ajuda.,4,5,120,Deirton,"Fausto Pinheiro, 316",Sim,94
95,4 anos atrás,"Melhor super mercado da região, vc encontra td que precisa",0.0,Agradecemos sua ajuda.,5,10,2,Deirton,"Fausto Pinheiro, 316",Sim,95
96,8 meses atrás,Excelente atendimento,0.0,Agradecemos sua ajuda.,4,29,5,Deirton,"Fausto Pinheiro, 316",Sim,96
97,2 anos atrás,"É pequeno, mas é possível encontrar muitas coisas lá.",0.0,Agradecemos sua ajuda.,4,119,37,Deirton,"Fausto Pinheiro, 316",Sim,97
98,2 anos atrás,Bom! So que ainda arroz açúcar ta ainda bem caro,0.0,Agradecemos sua ajuda.,4,3,0,Deirton,"Fausto Pinheiro, 316",Não,98
99,4 anos atrás,É muito bom ter um mercantil desse em nosso município lá agente tem muita opção,0.0,Agradecemos sua ajuda.,5,11,27,Deirton,"Fausto Pinheiro, 316",Sim,99
100,2 anos atrás,Em itapaje ce. Um bom lugar para abastecimento doméstico com sortimento e variedades!,0.0,Agradecemos sua ajuda.,4,669,26,Deirton,"Fausto Pinheiro, 316",Sim,100
101,3 anos atrás,"🤩boa ,fui bem atendida ,gostei🤗",0.0,Agradecemos sua ajuda.,5,2,9,Deirton,"Fausto Pinheiro, 316",Não,101
102,6 anos atrás,Melhor supermercado da cidade. Da cesta básica as bebidas. Tem tudo em um só lugar,1.0,Agradecemos sua ajuda.,4,165,747,Deirton,"Fausto Pinheiro, 316",Sim,102
103,5 anos atrás,Produtos bons e qualidade excelente...,0.0,Agradecemos sua ajuda.,5,8,0,Deirton,"Fausto Pinheiro, 316",Não,103
104,4 anos atrás,Estava sem organização  nos carrinhos de compras..impedindo a entrada e saída de clientes,0.0,Agradecemos sua ajuda.,3,129,365,Deirton,"Fausto Pinheiro, 316",Sim,104
105,2 anos atrás,"Muito bom, atendimento excelente",1.0,Agradecemos sua ajuda.,5,18,15,Deirton,"Fausto Pinheiro, 316",Sim,105
106,3 anos atrás,"O MELHOR SUPERMERCADO DE ITAPAJÉ,E TEM UM ÓTIMO ATENDIMENTO",0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,106
107,4 anos atrás,Muito bom; grande variedade!!!,0.0,Agradecemos sua ajuda.,4,48,4,Deirton,"Fausto Pinheiro, 316",Não,107
108,4 anos atrás,Supermercado mudo bom. Sempre tem o que procuro sem falar nas promoções na semana,0.0,Agradecemos sua ajuda.,5,7,0,Deirton,"Fausto Pinheiro, 316",Sim,108
109,3 anos atrás,"Preço bom, boa variedade de produtos.",0.0,Agradecemos sua ajuda.,3,76,0,Deirton,"Fausto Pinheiro, 316",Sim,109
110,6 anos atrás,"Bons preços, ótimo atendimento e ambiente agradável.",0.0,Agradecemos sua ajuda.,5,105,343,Deirton,"Fausto Pinheiro, 316",Sim,110
111,2 anos atrás,Ótimo lugar pra fazer suas compras...,0.0,Agradecemos sua ajuda.,5,6,0,Deirton,"Fausto Pinheiro, 316",Não,111
112,5 anos atrás,Você encontra de tudo. Atendentes eficientes e atenciosos.,0.0,Agradecemos sua ajuda.,5,61,5,Deirton,"Fausto Pinheiro, 316",Sim,112
113,2 anos atrás,Tem muitas variedades e um ótimo atendimento,0.0,Agradecemos sua ajuda.,5,19,0,Deirton,"Fausto Pinheiro, 316",Sim,113
114,4 anos atrás,"Muitas variedades, ambiente climatizado, bons produtos.",0.0,Agradecemos sua ajuda.,5,21,5,Deirton,"Fausto Pinheiro, 316",Sim,114
115,4 anos atrás,Muita boa como sempre!Otimo atendemento!,0.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,115
116,2 anos atrás,Muito bem atendido,0.0,Agradecemos sua ajuda.,5,12,0,Deirton,"Fausto Pinheiro, 316",Não,116
117,4 anos atrás,Muito bom. Sempre encontro o que quero.,0.0,Agradecemos sua ajuda.,5,5,2,Deirton,"Fausto Pinheiro, 316",Não,117
118,2 anos atrás,Ótima o caixa muito atencioso gostei!,0.0,Agradecemos sua ajuda.,5,4,0,Deirton,"Fausto Pinheiro, 316",Não,118
119,4 anos atrás,"Péssimo Atendimento, pessoas de mal Humor!",1.0,Agradecemos sua ajuda.,1,17,8,Deirton,"Fausto Pinheiro, 316",Sim,119
120,4 anos atrás,Excelente lugar. Tem o que você precisa.,0.0,Agradecemos sua ajuda.,4,0,0,Deirton,"Fausto Pinheiro, 316",Não,120
121,7 meses atrás,Belo atendimento,0.0,Agradecemos sua ajuda.,5,4,0,Deirton,"Fausto Pinheiro, 316",Não,121
122,3 anos atrás,Um otimo atendimento e funcionarios atenciosos.,0.0,Agradecemos sua ajuda.,5,14,0,Deirton,"Fausto Pinheiro, 316",Não,122
123,um ano atrás,Foi muito boa,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,123
124,2 anos atrás,"Ótimo espaço, preços e atendimento!",0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,124
125,4 anos atrás,Bom ótimo atendimento pessoas legais,0.0,Agradecemos sua ajuda.,4,11,0,Deirton,"Fausto Pinheiro, 316",Não,125
126,4 anos atrás,O melhor supermercado da região. Preço e qualidade.,1.0,Agradecemos sua ajuda.,5,0,0,Deirton,"Fausto Pinheiro, 316",Não,126
127,um ano atrás,Excelente atendimento,0.0,Agradecemos sua ajuda.,4,14,5,Deirton,"Fausto Pinheiro, 316",Sim,127
128,4 anos atrás,Atendimento personalizado com funcionários altamente qualificados.,0.0,Agradecemos sua ajuda.,5,132,819,Deirton,"Fausto Pinheiro, 316",Sim,128
129,6 meses atrás,Maravilha.,0.0,Agradecemos sua ajuda.,5,15,27,Deirton,"Fausto Pinheiro, 316",Sim,129
130,5 anos atrás,Tudo q precisamos tem lá. .Completo,0.0,Agradecemos sua ajuda.,5,7,0,Deirton,"Fausto Pinheiro, 316",Não,130
131,um ano atrás,O amigo n° 1 dos preços baixos em itapaje,1.0,Agradecemos sua ajuda.,5,15,3,Deirton,"Fausto Pinheiro, 316",Sim,131
132,5 anos atrás,Grande variedade de produtos. Ótimo!,0.0,Agradecemos sua ajuda.,3,6,0,Deirton,"Fausto Pinheiro, 316",Não,132
133,um ano atrás,Tem de tudo lá ❤️,0.0,Agradecemos sua ajuda.,5,3,0,Deirton,"Fausto Pinheiro, 316",Não,133
134,10 meses atrás,Ótimo supermercado atendimento excelente,0.0,Agradecemos sua ajuda.,5,30,978,Deirton,"Fausto Pinheiro, 316",Sim,134
135,um ano atrás,Ótimo atendimento,0.0,Agradecemos sua ajuda.,5,50,39,Deirton,"Fausto Pinheiro, 316",Sim,135
136,4 anos atrás,Excelente supermercado ótimos preços e um bom atendimento,0.0,Agradecemos sua ajuda.,5,10,0,Deirton,"Fausto Pinheiro, 316",Não,136
137,3 anos atrás,Variedades de produtos e preços bom.,0.0,Agradecemos sua ajuda.,5,4,0,Deirton,"Fausto Pinheiro, 316",Não,137
138,um ano atrás,Melhor supermercado da região!,0.0,Agradecemos sua ajuda.,4,4,43,Deirton,"Fausto Pinheiro, 316",Sim,138
139,um ano atrás,Muitas opções de alimentos e Cia,0.0,Agradecemos sua ajuda.,4,5,0,Deirton,"Fausto Pinheiro, 316",Não,139
140,2 anos atrás,Um dos maiores e mais completos supermercados do município de Itapajé.,0.0,Agradecemos sua ajuda.,5,14,20,Deirton,"Fausto Pinheiro, 316",Sim,140
141,4 anos atrás,Variedade de produtos muito boa,0.0,Agradecemos sua ajuda.,4,11,0,Deirton,"Fausto Pinheiro, 316",Sim,141
142,4 anos atrás,Espaço amplo e um grande mix de variedades!!,0.0,Agradecemos sua ajuda.,5,2,2,Deirton,"Fausto Pinheiro, 316",Não,142
143,2 anos atrás,Sempre muito bem atendendo,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,143
144,4 anos atrás,"Funcionários nota 10. Gerardo então, é show.",0.0,Agradecemos sua ajuda.,5,4,0,Deirton,"Fausto Pinheiro, 316",Não,144
145,6 anos atrás,"Dos melhores mercantil da região, acessível e aconchegante",0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,145
146,3 anos atrás,"Ótima, muita bem atendida!",0.0,Agradecemos sua ajuda.,5,3,0,Deirton,"Fausto Pinheiro, 316",Não,146
147,um ano atrás,Foi bom,0.0,Agradecemos sua ajuda.,5,5,0,Deirton,"Fausto Pinheiro, 316",Não,147
148,2 anos atrás,Tudo muito cara,0.0,Agradecemos sua ajuda.,2,2,28,Deirton,"Fausto Pinheiro, 316",Não,148
149,6 anos atrás,Mto bom e ótimo preço,1.0,Agradecemos sua ajuda.,5,61,138,Deirton,"Fausto Pinheiro, 316",Sim,149
150,2 anos atrás,Ótimo lugar para fazer compras,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,150
151,4 anos atrás,Ótimo ambiente e preço tbm,0.0,Agradecemos sua ajuda.,5,11,81,Deirton,"Fausto Pinheiro, 316",Sim,151
152,10 meses atrás,Excelente lugar,0.0,Agradecemos sua ajuda.,5,8,0,Deirton,"Fausto Pinheiro, 316",Sim,152
153,6 anos atrás,Gosto do atendimento é muito bom,0.0,Agradecemos sua ajuda.,4,0,0,Deirton,"Fausto Pinheiro, 316",Não,153
154,4 anos atrás,O supermercado que conta com a maior variedade de produtos da cidade.,0.0,Agradecemos sua ajuda.,4,7,0,Deirton,"Fausto Pinheiro, 316",Não,154
155,4 anos atrás,O melhor da região. Não troco,0.0,Agradecemos sua ajuda.,5,7,0,Deirton,"Fausto Pinheiro, 316",Não,155
156,2 anos atrás,Otimo atendimento excelente,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,156
157,2 anos atrás,Excelente ambiente e ótimo atendimento,0.0,Agradecemos sua ajuda.,5,2,0,Deirton,"Fausto Pinheiro, 316",Não,157
