"TSUbDb","A503be","dehysf","Jtu6Td","QWOdjf","QWOdjf 2","Txngnb","Txngnb 2","QV3IV","Aohxlc 2"
"Joao batista","11 comentários1 foto","2 anos atrás","Preços ótimo , bom atendimento","1","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Horácio Alves (HAM)","10 comentários10 fotos","4 anos atrás","Bom atendimento e excelentes preços.","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Sandro Rayan","21 comentários1 foto","3 anos atrás","Falta muita coisa, pra ser um mercantil de interior poderia ter mais opções de compra!","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"rurik alves","8 comentários","um ano atrás","Atendimento está ficando muito devagar, antes era ótimo mas infelizmente tá piorando!!!","1","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Gledson Silva","155 comentários18 fotos","um ano atrás","Uma variedade boa de produtos","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Joanita Castro","3 comentários","5 anos atrás","Adoro esse mercantil 🍇🍉🍎🍑🍒🍓🍗🍟🥚🥒🍿☕🍬🍭🍾🍪entre outros.","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Jeferson Mota","2 comentários5 fotos","um ano atrás","Muito bom os preços, mas apesar que um pouco bagunçado e muitos produtos sem o preço na prateleira","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Gina Sousa","4 comentários","3 anos atrás","Adoro fazer compras lá. 😍","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Erinaldo Vasconcelos","10 comentários4 fotos","2 anos atrás","Produtos baratos você encontra aqui, no entanto o espaço é muito apertado, e como o supermercado está sempre cheio das a gente se sentir em um formigueiro gigante.","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"joão paulo","Um comentário","3 anos atrás","Por que tem uma variedade boa e um bom atendimento.","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"OBrisa 2816","57 comentários262 fotos","4 anos atrás","ótimo atendimento","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Narcelio Morais","10 comentários1 foto","2 anos atrás","Só é caro mais  é  bom","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"José Rodrigues da Silva Rodrigues da Silva","2 comentários2 fotos","um ano atrás","ÓTIMA! UM ATENDIMENTO NOTA 10 E PREÇOS QUE CABEM NO BOLSO DO CONSUMIDOR.","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Rita Mesquita","29 comentários43 fotos","um ano atrás","Bons preços e bom atendimento...","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Rafael Quinto","6 comentários","3 anos atrás","O melhor supermercado da cidade so faço as compras neste local, tem atendentes simpáticos e empregados dispostos a ajudar todos, preços bem acessíveis!","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Antonio Filho","13 comentários2 fotos","um ano atrás","Melhor super mercado para quem procura preço em itapage mercadinho do povo","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"missinete aquino","4 comentários","2 anos atrás","Grande variedades de produtos","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Inácio Cruz","Um comentário1 foto","3 anos atrás","Ótimo lugar!","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Fernando Gomes Mota","132 comentários819 fotos","9 meses atrás","Atendimento prático, preços razoáveis","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Edilanelane Lane","Um comentário12 fotos","4 anos atrás","Unhas perfeitas","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"GUILHERME GOMES","8 comentários","um ano atrás","Caro as coisas lá.","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"caroline silva","14 comentários5 fotos","5 meses atrás","Ótimo atendimento","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Marcilio Gomes","11 comentários","4 anos atrás","Preço bom e ótimo atendimento","1","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Narcisio Sampaio","9 comentários18 fotos","5 anos atrás","Lugar mal organizado","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Helena Cruz","3 comentários1 foto","2 anos atrás","Eu acho muito bom agente parece que esta em casa","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Wellinton Gomes","Um comentário","2 anos atrás","Local com muita variedade e preço bom","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Edinei Mendes","2 comentários","um ano atrás","Sou freguês lá e ñ troco por outro!!","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Antonio Roberto Zanetti","48 comentários4 fotos","4 anos atrás","Realmente é o menor preço de ITAPAJE-CE","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"PATRICIA DUARTE","12 comentários","2 anos atrás","Muito boa.","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide",""
"Antonio Araújo","7 comentários","um ano atrás","Preços incríveis extremamente aconchegante","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Paulo Agner Ferreira de Sousa","11 comentários3 fotos","3 anos atrás","Têm de tudo","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Diego Rocha","34 comentários17 fotos","5 anos atrás","Preço bom!","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Marco Diogo","10 comentários","um ano atrás","Mas ou menos","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"emerson schultzer","4 comentários2 fotos","um ano atrás","Ótimo atendimento.","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Edmar Santos","9 comentários","um ano atrás","Muito bom esse lugar","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Dany rodrigues","26 comentários2 fotos","4 anos atrás","Show de bola","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Karoline Sousa","3 comentários","um ano atrás","Preço baixo de verdade 👏👏","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Fabio Mesquita","5 comentários","um ano atrás","Pouco espaço","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Joao Paulo","24 comentários","4 anos atrás","Muito bom","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide",""
"Jocilene De Sousa","2 comentários","3 anos atrás","Precisa ter mais espaço","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Maria Gecilane Mendes de Souza","2 comentários","11 meses atrás","Amei","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"luscius Sousa","12 comentários6 fotos","5 anos atrás","Bom lugar","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"César Henrique Vaz Ângelo","3 comentários","2 anos atrás","Ótimo atendimento.","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Valdenora Beth","3 comentários","2 anos atrás","Ótimo.","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Luciana Santos","Um comentário","11 meses atrás","Boa","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Dinei Sousa","43 comentários2 fotos","11 meses atrás","Sim","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"José Renato","27 comentários","um ano atrás","Tudo","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide",""
"Jackson mota","7 comentários","4 anos atrás","Muito bom","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Anjela Lima","16 comentários5 fotos","um ano atrás","Maravilhoso   🙌","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Adriano Sousa Costa","181 comentários46 fotos","2 anos atrás","Razoável","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"ThEuS OlIVeR","3 comentários","3 anos atrás","Bom","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Jocelio Matias","Um comentário","5 anos atrás","Otimo","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Túlio Gomes","3 comentários","2 meses atrás","ótima","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide",""
"Alcapone","4 comentários","5 anos atrás","Muito bom","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"jailson Santos","102 comentários93 fotos","um ano atrás","Variedades","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"RAIMUNDO BRANDÃO","Um comentário1 foto","um ano atrás","Boa","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Madson Dos Santos","40 comentários","4 anos atrás","Bom","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide",""
"Everbarbosa011@gmail.com Ferreira","3 comentários","2 anos atrás","Ótima","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide",""
"Antonio pacheco sousa Pacheco","5 comentários","4 anos atrás","Bom","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Luluzinha Costa","11 comentários","4 anos atrás","Boa","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Tainara Cruz de sousa","7 comentários","4 anos atrás","Bom","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Nato Sousa","19 comentários1 foto","4 anos atrás","Ótimo","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Humberto Nascimento","51 comentários9 fotos","5 anos atrás","Muito bom","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Weverson Silva","3 comentários","5 anos atrás","ÓTIMO","1","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide",""
"Emanuel Morais","118 comentários2 fotos","5 anos atrás","Muito bom","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Geovana Maria","3 comentários","5 anos atrás","Ótima!","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Juraci Fernandes Silva","66 comentários18 fotos","4 anos atrás","Bom","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","Local Guide","·"
"Edinardo Gomes","Um comentário","4 anos atrás","Julgamento","0","Gostei","Agradecemos sua ajuda.","Ocorreu um problema. Tente novamente.","",""
"Geovana Sousa Veras (Pessoal)","Um comentário","um ano atrás","","","","","","",""
"Jaynemaria Bastos","8 comentários2 fotos","um ano atrás","","","","","","",""
"Kennedy Costa","8 comentários","um ano atrás","","","","","","Local Guide",""
"Marynha Sousa","","3 anos atrás","","","","","","",""
"Fabiano Nascimento","Um comentário","2 anos atrás","","","","","","Local Guide",""
"PAREDÕES & CIA","","2 anos atrás","","","","","","",""
"Wagner Andrade Salles","3 comentários","um ano atrás","","","","","","",""
"Julio Henrique","","2 anos atrás","","","","","","",""
"Luis Paulo Pinto Peixe","26 comentários","2 anos atrás","","","","","","",""
"Isabelita Lopes Cruz Lopes","9 comentários1 foto","2 anos atrás","","","","","","",""
"Anne Karoliny","","um ano atrás","","","","","","",""
"Karine Matias","","5 anos atrás","","","","","","",""
"Alexandrina Mesquita","3 comentários19 fotos","2 anos atrás","","","","","","Local Guide","·"
"furia da luz","8 comentários1 foto","um ano atrás","","","","","","",""
"Mila Dias","29 comentários1 foto","4 anos atrás","","","","","","Local Guide","·"
"elias neto","Um comentário","2 anos atrás","","","","","","",""
"Oreste Marcelino","6 fotos","2 anos atrás","","","","","","Local Guide",""
"Yana Patricia","4 comentários","um mês atrás","","","","","","",""
"Polly Gomes","2 comentários","um ano atrás","","","","","","",""
"harrison loureto","9 comentários54 fotos","um ano atrás","","","","","","Local Guide","·"
"Rafitos Matsuzaka","Um comentário","2 anos atrás","","","","","","",""
"Venicius Rodrigues","2 comentários1 foto","2 anos atrás","","","","","","",""
"Pedro Icaro","","um ano atrás","","","","","","",""
"Arianne Aragão","10 comentários","8 meses atrás","","","","","","Local Guide",""
"Ricardo David","13 comentários6 fotos","um ano atrás","","","","","","",""
"Henrique Veras","91 comentários182 fotos","2 anos atrás","","","","","","Local Guide","·"
"Robson GB","2 comentários","um ano atrás","","","","","","",""
"Joab Gomes","2 comentários2 fotos","2 anos atrás","","","","","","",""
"Anderson Silva","21 comentários2 fotos","10 meses atrás","","","","","","",""
"Rafael Rodrigues","Um comentário","2 meses atrás","","","","","","",""
"Allison Sales","2 fotos","10 meses atrás","","","","","","Local Guide",""
"Ulisses Gomes pinto","12 comentários8 fotos","um ano atrás","","","","","","Local Guide","·"
"Márcio Fernandes Oliveira","6 comentários1 foto","7 meses atrás","","","","","","",""
"Lalêsca Sousa","","um ano atrás","","","","","","",""
"Erivando Silva","3 comentários","2 anos atrás","","","","","","",""
"Daniel Bastos","5 comentários","um ano atrás","","","","","","",""
"Thais Joice Pinheiro","12 comentários","um ano atrás","","","","","","Local Guide",""
"Guilherme Fernandes","","2 anos atrás","","","","","","",""
"lidiane ferreira","Um comentário","um ano atrás","","","","","","",""
"Michelle Lira","2 comentários","3 meses atrás","","","","","","",""
"Cleumyr Ramos","3 comentários216 fotos","2 anos atrás","","","","","","Local Guide","·"
"Geilson Sowsa","2 comentários","um ano atrás","","","","","","",""
"Elaine Brioso","","2 anos atrás","","","","","","",""
"wellington eufrasio","Um comentário","um ano atrás","","","","","","",""
"Lucas Mesquita","7 comentários","3 anos atrás","","","","","","",""
"Eliane Teixeira","Um comentário","um ano atrás","","","","","","",""
"Memes Supremos","21 comentários3 fotos","um ano atrás","","","","","","Local Guide","·"
"jansein miqueias de oliveira sousa","3 comentários","um ano atrás","","","","","","",""
"cindy","","5 anos atrás","","","","","","",""
"CIRO CANDIDO","6 comentários","4 anos atrás","","","","","","Local Guide",""
"Andressa Cruz","2 comentários","5 anos atrás","","","","","","",""
"elielto cds","3 comentários3 fotos","4 anos atrás","","","","","","",""
"Claumick Maia","2 comentários","4 anos atrás","","","","","","",""
"Helio Cotinho","Um comentário","5 anos atrás","","","","","","",""
"Víctor Mesquita Mendes","Um comentário","3 anos atrás","","","","","","",""
"Gustavo Braga","Um comentário","2 anos atrás","","","","","","",""
"Valeria Santos","7 comentários18 fotos","3 anos atrás","","","","","","",""
"Clésio Mesquita","","4 anos atrás","","","","","","",""
"Janaína Pereira","Um comentário","5 anos atrás","","","","","","",""
"Marcos Sena","","3 anos atrás","","","","","","",""
"Davi Oliveira","12 comentários10 fotos","4 anos atrás","","","","","","Local Guide","·"
"Felipe do paredão","1 foto","3 anos atrás","","","","","","",""
"Triz Chaves","","5 anos atrás","","","","","","",""
"leia ferreira","19 comentários17 fotos","4 anos atrás","","","","","","Local Guide","·"
"Geovana Lucas","","4 anos atrás","","","","","","",""
"Larissa Sousa","5 comentários8 fotos","4 anos atrás","","","","","","Local Guide","·"
"Gerly Magalhães","Um comentário","5 anos atrás","","","","","","",""
"Junior Cruz","7 comentários","4 anos atrás","","","","","","",""
"Carlos Itajavé","3 comentários46 fotos","5 anos atrás","","","","","","Local Guide","·"
"Fernando David","4 comentários","4 anos atrás","","","","","","Local Guide",""
"Ruth Camelo","","5 anos atrás","","","","","","",""
"Jose Raimundo","","5 anos atrás","","","","","","",""
"Junior Pontes","6 comentários","4 anos atrás","","","","","","",""
"Geysa Gomes","","3 anos atrás","","","","","","",""
"John Wesley","Um comentário","3 anos atrás","","","","","","",""
"Marcos Almeida","Um comentário","2 anos atrás","","","","","","",""
"Eric Barbosa","","3 anos atrás","","","","","","",""
"Mário .m","8 fotos","6 anos atrás","","","","","","",""
"Vanderli Barbosa Pinto","","4 anos atrás","","","","","","",""
"Géssyca S. Carneiro","8 comentários","5 anos atrás","","","","","","",""
"Jose Cláudio","3 comentários","4 anos atrás","","","","","","",""
"Nay Felix","2 comentários","4 anos atrás","","","","","","",""
"Vitor Ramos","4 comentários","4 anos atrás","","","","","","",""
"Francisco Barroso","18 comentários","4 anos atrás","","","","","","",""
"Elvis Lemos","2 comentários","3 anos atrás","","","","","","",""
"Celino Silva","","5 anos atrás","","","","","","",""
"Amara Lívia Ferreira","","5 anos atrás","","","","","","",""
"Leidinha Eufrasio","","4 anos atrás","","","","","","",""
"Cleverson Queiroz","8 comentários9 fotos","3 anos atrás","","","","","","Local Guide","·"
"Verani Cruz","","5 anos atrás","","","","","","",""
"Denis Viana","2 comentários2 fotos","6 anos atrás","","","","","","",""
"Benedito Santos Maciel","4 comentários","4 anos atrás","","","","","","",""
"Lucia Alves","","5 anos atrás","","","","","","",""
"Luiza Cardoso","","8 anos atrás","","","","","","",""
"Eduardo Camelo","4 comentários","5 anos atrás","","","","","","Local Guide",""
"Solange Oliveira","12 comentários","5 anos atrás","","","","","","Local Guide",""
"marta cruz","9 comentários33 fotos","5 anos atrás","","","","","","Local Guide","·"
"Carlos Alves","4 comentários9 fotos","4 anos atrás","","","","","","Local Guide","·"
"edna lopes","4 comentários2 fotos","2 anos atrás","","","","","","",""
"Aurianny","Um comentário","3 anos atrás","","","","","","",""
"John Make","3 fotos","5 anos atrás","","","","","","",""
"Nicapenha 190@gmail. Com Nicapenha","23 comentários46 fotos","4 anos atrás","","","","","","",""
"Thayner Oliveira","","6 anos atrás","","","","","","",""
"Genival Viana","","5 anos atrás","","","","","","",""
"Larissa Brioso","339 comentários2.102 fotos","4 anos atrás","","","","","","Local Guide","·"
"Ana Beatriz Cruz Rocha","16 comentários1 foto","3 anos atrás","","","","","","Local Guide","·"
"Ulisses Gp","20 comentários3 fotos","4 anos atrás","","","","","","Local Guide","·"
